"SamAccountName","ComputerName","ComputerCreationDate","ComputerChanged","SPN","DistinguishedName"
"SOD-DOSBORN1$","SOD-DOSBORN1","8/13/2014 7:02:06 PM","4/15/2021 2:20:20 PM","WSMAN/sod-dosborn1.HS.wvu-ad.wvu.edu;WSMAN/sod-dosborn1;CmRcService/SOD-DOSBORN1;CmRcService/sod-dosborn1.HS.wvu-ad.wvu.edu;TERMSRV/SOD-DOSBORN1;TERMSRV/sod-dosborn1.HS.wvu-ad.wvu.edu;RestrictedKrbHost/SOD-DOSBORN1;HOST/SOD-DOSBORN1;RestrictedKrbHost/sod-dosborn1.HS.wvu-ad.wvu.edu;HOST/sod-dosborn1.HS.wvu-ad.wvu.edu","CN=SOD-DOSBORN1,OU=SOD,OU=Student Laptops,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-KSIVANE1$","SOD-KSIVANE1","8/13/2014 7:14:58 PM","10/13/2021 10:52:43 AM","CmRcService/sod-ksivane1.HS.wvu-ad.wvu.edu;CmRcService/SOD-KSIVANE1;TERMSRV/sod-ksivane1.HS.wvu-ad.wvu.edu;TERMSRV/SOD-KSIVANE1;RestrictedKrbHost/SOD-KSIVANE1;HOST/SOD-KSIVANE1;RestrictedKrbHost/sod-ksivane1.HS.wvu-ad.wvu.edu;HOST/sod-ksivane1.HS.wvu-ad.wvu.edu","CN=SOD-KSIVANE1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-BPAINE$","sod-bpaine","8/13/2014 7:21:44 PM","10/13/2021 10:52:37 AM","CmRcService/sod-bpaine.HS.wvu-ad.wvu.edu;CmRcService/SOD-BPAINE;TERMSRV/SOD-BPAINE;TERMSRV/sod-bpaine.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-bpaine;HOST/sod-bpaine;RestrictedKrbHost/sod-bpaine.HS.wvu-ad.wvu.edu;HOST/sod-bpaine.HS.wvu-ad.wvu.edu","CN=sod-bpaine,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-MGMARMORA$","sod-mgmarmora","8/13/2014 7:25:06 PM","10/13/2021 10:52:58 AM","CmRcService/SOD-MGMARMORA;CmRcService/sod-mgmarmora.HS.wvu-ad.wvu.edu;TERMSRV/SOD-MGMARMORA;TERMSRV/sod-mgmarmora.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-mgmarmora;HOST/sod-mgmarmora;RestrictedKrbHost/sod-mgmarmora.HS.wvu-ad.wvu.edu;HOST/sod-mgmarmora.HS.wvu-ad.wvu.edu","CN=sod-mgmarmora,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-DEMALAMATEN$","sod-demalamaten","8/13/2014 7:31:28 PM","10/13/2021 10:52:37 AM","CmRcService/sod-demalamaten.HS.wvu-ad.wvu.edu;CmRcService/SOD-DEMALAMATEN;TERMSRV/SOD-DEMALAMATEN;TERMSRV/sod-demalamaten.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-demalamaten;HOST/sod-demalamaten;RestrictedKrbHost/sod-demalamaten.HS.wvu-ad.wvu.edu;HOST/sod-demalamaten.HS.wvu-ad.wvu.edu","CN=sod-demalamaten,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-RKNEZHAD$","sod-rknezhad","8/13/2014 7:34:30 PM","10/13/2021 10:52:58 AM","CmRcService/sod-rknezhad.HS.wvu-ad.wvu.edu;CmRcService/SOD-RKNEZHAD;TERMSRV/SOD-RKNEZHAD;TERMSRV/sod-rknezhad.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-rknezhad;HOST/sod-rknezhad;RestrictedKrbHost/sod-rknezhad.HS.wvu-ad.wvu.edu;HOST/sod-rknezhad.HS.wvu-ad.wvu.edu","CN=sod-rknezhad,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-AWILLIS5$","sod-awillis5","8/13/2014 7:37:33 PM","10/13/2021 10:52:31 AM","CmRcService/sod-awillis5.HS.wvu-ad.wvu.edu;CmRcService/SOD-AWILLIS5;TERMSRV/SOD-AWILLIS5;TERMSRV/sod-awillis5.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-awillis5;HOST/sod-awillis5;RestrictedKrbHost/sod-awillis5.HS.wvu-ad.wvu.edu;HOST/sod-awillis5.HS.wvu-ad.wvu.edu","CN=sod-awillis5,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-TNGAN$","sod-tngan","8/13/2014 7:40:45 PM","10/13/2021 10:52:58 AM","CmRcService/SOD-TNGAN;CmRcService/sod-tngan.HS.wvu-ad.wvu.edu;TERMSRV/SOD-TNGAN;TERMSRV/sod-tngan.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-tngan;HOST/sod-tngan;RestrictedKrbHost/sod-tngan.HS.wvu-ad.wvu.edu;HOST/sod-tngan.HS.wvu-ad.wvu.edu","CN=sod-tngan,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-TDZELNICEK$","sod-tdzelnicek","8/13/2014 7:48:46 PM","10/13/2021 10:52:58 AM","CmRcService/sod-tdzelnicek.HS.wvu-ad.wvu.edu;CmRcService/SOD-TDZELNICEK;TERMSRV/sod-tdzelnicek.HS.wvu-ad.wvu.edu;TERMSRV/SOD-TDZELNICEK;RestrictedKrbHost/sod-tdzelnicek;HOST/sod-tdzelnicek;RestrictedKrbHost/sod-tdzelnicek.HS.wvu-ad.wvu.edu;HOST/sod-tdzelnicek.HS.wvu-ad.wvu.edu","CN=sod-tdzelnicek,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-CWOLEARY$","sod-cwoleary","8/13/2014 7:54:41 PM","10/13/2021 10:52:37 AM","CmRcService/sod-cwoleary.HS.wvu-ad.wvu.edu;CmRcService/SOD-CWOLEARY;TERMSRV/sod-cwoleary.HS.wvu-ad.wvu.edu;TERMSRV/SOD-CWOLEARY;RestrictedKrbHost/sod-cwoleary;HOST/sod-cwoleary;RestrictedKrbHost/sod-cwoleary.HS.wvu-ad.wvu.edu;HOST/sod-cwoleary.HS.wvu-ad.wvu.edu","CN=sod-cwoleary,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-KBPLANTS$","sph-kbplants","8/14/2014 8:25:05 AM","10/13/2021 10:53:13 AM","WSMAN/sph-kbplants.HS.wvu-ad.wvu.edu;WSMAN/sph-kbplants;CmRcService/SPH-KBPLANTS;CmRcService/sph-kbplants.HS.wvu-ad.wvu.edu;TERMSRV/SPH-KBPLANTS;TERMSRV/sph-kbplants.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sph-kbplants;HOST/sph-kbplants;RestrictedKrbHost/sph-kbplants.HS.wvu-ad.wvu.edu;HOST/sph-kbplants.HS.wvu-ad.wvu.edu","CN=sph-kbplants,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-HIAJEH$","sph-hiajeh","8/13/2014 7:21:41 AM","10/13/2021 10:53:13 AM","CmRcService/sph-hiajeh.HS.wvu-ad.wvu.edu;CmRcService/SPH-HIAJEH;TERMSRV/SPH-HIAJEH;TERMSRV/sph-hiajeh.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sph-hiajeh;HOST/sph-hiajeh;RestrictedKrbHost/sph-hiajeh.HS.wvu-ad.wvu.edu;HOST/sph-hiajeh.HS.wvu-ad.wvu.edu","CN=sph-hiajeh,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"DELL-PT-ECOX$","DELL-PT-ECOX","6/10/2013 3:15:38 PM","10/13/2021 10:43:27 AM","CmRcService/dell-pt-ecox.HS.wvu-ad.wvu.edu;CmRcService/DELL-PT-ECOX;TERMSRV/DELL-PT-ECOX;TERMSRV/dell-pt-ecox.HS.wvu-ad.wvu.edu;RestrictedKrbHost/DELL-PT-ECOX;HOST/DELL-PT-ECOX;RestrictedKrbHost/DELL-PT-ECOX.HS.wvu-ad.wvu.edu;HOST/DELL-PT-ECOX.HS.wvu-ad.wvu.edu","CN=DELL-PT-ECOX,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MACHAGGIS$","MACHAGGIS","5/20/2009 11:47:41 AM","7/29/2019 3:24:04 PM","MSSQLSvc/MACHAGGIS.HS.wvu-ad.wvu.edu:1433;WSMAN/MACHAGGIS.HS.wvu-ad.wvu.edu;WSMAN/MACHAGGIS;HOST/MACHAGGIS;HOST/MACHAGGIS.HS.wvu-ad.wvu.edu","CN=MACHAGGIS,OU=CHSC Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCIOEH177E$","HSCIOEH177E","8/2/2012 3:27:15 PM","7/29/2019 3:24:04 PM","TERMSRV/HSCIOEH177E;TERMSRV/HSCIOEH177E.HS.wvu-ad.wvu.edu;CmRcService/HSCIOEH177E;CmRcService/HSCIOEH177E.HS.wvu-ad.wvu.edu;RestrictedKrbHost/HSCIOEH177E;HOST/HSCIOEH177E;RestrictedKrbHost/HSCIOEH177E.HS.wvu-ad.wvu.edu;HOST/HSCIOEH177E.HS.wvu-ad.wvu.edu","CN=HSCIOEH177E,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-BKENNED2$","sph-bkenned2","8/13/2014 12:23:04 PM","10/13/2021 10:53:13 AM","TERMSRV/sph-bkenned2.HS.wvu-ad.wvu.edu;TERMSRV/SPH-BKENNED2;RestrictedKrbHost/sph-bkenned2;HOST/sph-bkenned2;RestrictedKrbHost/sph-bkenned2.HS.wvu-ad.wvu.edu;HOST/sph-bkenned2.HS.wvu-ad.wvu.edu","CN=sph-bkenned2,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-BMHENDRICKS$","SPH-BMHENDRICKS","8/15/2014 11:49:12 AM","9/24/2021 12:07:34 PM","WSMAN/sph-bmhendricks;WSMAN/sph-bmhendricks.HS.wvu-ad.wvu.edu;CmRcService/sph-bmhendricks.HS.wvu-ad.wvu.edu;CmRcService/SPH-BMHENDRICKS;TERMSRV/sph-bmhendricks.HS.wvu-ad.wvu.edu;TERMSRV/SPH-BMHENDRICKS;RestrictedKrbHost/SPH-BMHENDRICKS;HOST/SPH-BMHENDRICKS;RestrictedKrbHost/sph-bmhendricks.HS.wvu-ad.wvu.edu;HOST/sph-bmhendricks.HS.wvu-ad.wvu.edu","CN=SPH-BMHENDRICKS,OU=Student Laptops,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ACCESS1$","ACCESS1","1/28/2009 11:58:36 AM","7/29/2019 3:24:04 PM","CmRcService/access1.HS.wvu-ad.wvu.edu;CmRcService/ACCESS1;HOST/ACCESS1;HOST/access1.HS.wvu-ad.wvu.edu","CN=ACCESS1,OU=Screensaver Exception Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WVEKAMPSNIDER$","WVEKAMPSNIDER","3/11/2010 2:38:36 PM","10/13/2021 10:53:46 AM","CmRcService/WVEKAMPSNIDER;CmRcService/WVEKAMPSNIDER.HS.wvu-ad.wvu.edu;TERMSRV/WVEKAMPSNIDER.HS.wvu-ad.wvu.edu;TERMSRV/WVEKAMPSNIDER;RestrictedKrbHost/WVEKAMPSNIDER;RestrictedKrbHost/WVEKAMPSNIDER.HS.wvu-ad.wvu.edu;HOST/WVEKAMPSNIDER;HOST/WVEKAMPSNIDER.HS.wvu-ad.wvu.edu","CN=WVEKAMPSNIDER,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"JONEIL-WIN7$","JONEIL-WIN7","10/7/2011 1:49:54 PM","10/13/2021 10:50:56 AM","TERMSRV/JOneil-Win7.HS.wvu-ad.wvu.edu;TERMSRV/JONEIL-WIN7;CmRcService/JOneil-Win7.HS.wvu-ad.wvu.edu;CmRcService/JONEIL-WIN7;RestrictedKrbHost/JONEIL-WIN7;HOST/JONEIL-WIN7;RestrictedKrbHost/JONEIL-WIN7.HS.wvu-ad.wvu.edu;HOST/JONEIL-WIN7.HS.wvu-ad.wvu.edu","CN=JONEIL-WIN7,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-3012$","HS-SPH-3012","2/20/2013 1:55:57 PM","10/13/2021 10:49:55 AM","CmRcService/hs-sph-3012.HS.wvu-ad.wvu.edu;CmRcService/HS-SPH-3012;TERMSRV/hs-sph-3012.HS.wvu-ad.wvu.edu;TERMSRV/HS-SPH-3012;RestrictedKrbHost/HS-SPH-3012;HOST/HS-SPH-3012;RestrictedKrbHost/HS-SPH-3012.HS.wvu-ad.wvu.edu;HOST/HS-SPH-3012.HS.wvu-ad.wvu.edu","CN=HS-SPH-3012,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-G104E$","HS-SPH-G104E","10/25/2012 9:53:11 AM","10/13/2021 10:50:10 AM","TERMSRV/HS-SPH-G104E;TERMSRV/HS-SPH-G104E.HS.wvu-ad.wvu.edu;CmRcService/HS-SPH-G104E.HS.wvu-ad.wvu.edu;CmRcService/HS-SPH-G104E;RestrictedKrbHost/HS-SPH-G104E;HOST/HS-SPH-G104E;RestrictedKrbHost/HS-SPH-G104E.HS.wvu-ad.wvu.edu;HOST/HS-SPH-G104E.HS.wvu-ad.wvu.edu","CN=HS-SPH-G104E,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-JNGUYEN3$","sph-jnguyen3","8/6/2014 9:34:43 AM","10/13/2021 10:53:13 AM","CmRcService/sph-jnguyen3.HS.wvu-ad.wvu.edu;CmRcService/SPH-JNGUYEN3;TERMSRV/sph-jnguyen3.HS.wvu-ad.wvu.edu;TERMSRV/SPH-JNGUYEN3;RestrictedKrbHost/sph-jnguyen3;HOST/sph-jnguyen3;RestrictedKrbHost/sph-jnguyen3.HS.wvu-ad.wvu.edu;HOST/sph-jnguyen3.HS.wvu-ad.wvu.edu","CN=sph-jnguyen3,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-OME-74F6$","HS-OME-74F6","9/6/2012 8:35:48 AM","10/13/2021 10:47:58 AM","CmRcService/HS-OME-74F6;CmRcService/HS-OME-74F6.HS.wvu-ad.wvu.edu;TERMSRV/HS-OME-74F6;TERMSRV/HS-OME-74F6.HS.wvu-ad.wvu.edu;RestrictedKrbHost/HS-OME-74F6;HOST/HS-OME-74F6;RestrictedKrbHost/HS-OME-74F6.HS.wvu-ad.wvu.edu;HOST/HS-OME-74F6.HS.wvu-ad.wvu.edu","CN=HS-OME-74F6,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-RRELLIS$","sod-rrellis","8/19/2014 1:21:38 PM","10/13/2021 10:52:58 AM","CmRcService/sod-rrellis.HS.wvu-ad.wvu.edu;CmRcService/SOD-RRELLIS;TERMSRV/sod-rrellis.HS.wvu-ad.wvu.edu;TERMSRV/SOD-RRELLIS;RestrictedKrbHost/sod-rrellis;HOST/sod-rrellis;RestrictedKrbHost/sod-rrellis.HS.wvu-ad.wvu.edu;HOST/sod-rrellis.HS.wvu-ad.wvu.edu","CN=sod-rrellis,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-CAHALL$","sod-cahall","8/19/2014 1:38:18 PM","10/13/2021 10:52:37 AM","CmRcService/SOD-CAHALL;CmRcService/sod-cahall.HS.wvu-ad.wvu.edu;TERMSRV/SOD-CAHALL;TERMSRV/sod-cahall.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-cahall;HOST/sod-cahall;RestrictedKrbHost/sod-cahall.HS.wvu-ad.wvu.edu;HOST/sod-cahall.HS.wvu-ad.wvu.edu","CN=sod-cahall,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-NMEADE$","sod-nmeade","8/19/2014 1:52:21 PM","10/13/2021 10:52:58 AM","CmRcService/sod-nmeade.HS.wvu-ad.wvu.edu;CmRcService/SOD-NMEADE;TERMSRV/sod-nmeade.HS.wvu-ad.wvu.edu;TERMSRV/SOD-NMEADE;RestrictedKrbHost/sod-nmeade;HOST/sod-nmeade;RestrictedKrbHost/sod-nmeade.HS.wvu-ad.wvu.edu;HOST/sod-nmeade.HS.wvu-ad.wvu.edu","CN=sod-nmeade,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-KPHARPER$","sod-kpharper","8/19/2014 2:11:41 PM","10/13/2021 10:52:43 AM","CmRcService/sod-kpharper.HS.wvu-ad.wvu.edu;CmRcService/SOD-KPHARPER;TERMSRV/sod-kpharper.HS.wvu-ad.wvu.edu;TERMSRV/SOD-KPHARPER;RestrictedKrbHost/sod-kpharper;HOST/sod-kpharper;RestrictedKrbHost/sod-kpharper.HS.wvu-ad.wvu.edu;HOST/sod-kpharper.HS.wvu-ad.wvu.edu","CN=sod-kpharper,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-KMJULIAN$","sod-kmjulian","8/19/2014 2:21:13 PM","10/13/2021 10:52:43 AM","CmRcService/sod-kmjulian.HS.wvu-ad.wvu.edu;CmRcService/SOD-KMJULIAN;TERMSRV/SOD-KMJULIAN;TERMSRV/sod-kmjulian.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-kmjulian;HOST/sod-kmjulian;RestrictedKrbHost/sod-kmjulian.HS.wvu-ad.wvu.edu;HOST/sod-kmjulian.HS.wvu-ad.wvu.edu","CN=sod-kmjulian,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU8ZG9CK1$","CWVU8ZG9CK1","4/24/2014 8:14:47 AM","10/13/2021 10:42:36 AM","TERMSRV/CWVU8ZG9CK1;TERMSRV/CWVU8ZG9CK1.HS.wvu-ad.wvu.edu;CmRcService/CWVU8ZG9CK1.HS.wvu-ad.wvu.edu;CmRcService/CWVU8ZG9CK1;RestrictedKrbHost/CWVU8ZG9CK1;HOST/CWVU8ZG9CK1;RestrictedKrbHost/CWVU8ZG9CK1.HS.wvu-ad.wvu.edu;HOST/CWVU8ZG9CK1.HS.wvu-ad.wvu.edu","CN=CWVU8ZG9CK1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-JLSHILTZ$","SPH-JLSHILTZ","8/20/2014 3:24:48 PM","10/13/2021 10:53:13 AM","CmRcService/SPH-JLSHILTZ;CmRcService/sph-jlshiltz.HS.wvu-ad.wvu.edu;TERMSRV/sph-jlshiltz.HS.wvu-ad.wvu.edu;TERMSRV/SPH-JLSHILTZ;RestrictedKrbHost/SPH-JLSHILTZ;HOST/SPH-JLSHILTZ;RestrictedKrbHost/sph-jlshiltz.HS.wvu-ad.wvu.edu;HOST/sph-jlshiltz.HS.wvu-ad.wvu.edu","CN=SPH-JLSHILTZ,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPEDS9602$","HSPEDS9602","2/20/2014 2:09:15 PM","10/13/2021 10:48:25 AM","CmRcService/HSPEDS9602.HS.wvu-ad.wvu.edu;CmRcService/HSPEDS9602;WSMAN/HSPEDS9602.HS.wvu-ad.wvu.edu;WSMAN/HSPEDS9602;TERMSRV/HSPEDS9602;TERMSRV/HSPEDS9602.HS.wvu-ad.wvu.edu;RestrictedKrbHost/HSPEDS9602;HOST/HSPEDS9602;RestrictedKrbHost/HSPEDS9602.HS.wvu-ad.wvu.edu;HOST/HSPEDS9602.HS.wvu-ad.wvu.edu","CN=HSPEDS9602,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-MABOUATT$","sph-mabouatt","8/6/2014 10:41:51 AM","10/13/2021 10:53:13 AM","CmRcService/SPH-MABOUATT;CmRcService/sph-mabouatt.HS.wvu-ad.wvu.edu;TERMSRV/SPH-MABOUATT;TERMSRV/sph-mabouatt.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sph-mabouatt;HOST/sph-mabouatt;RestrictedKrbHost/sph-mabouatt.HS.wvu-ad.wvu.edu;HOST/sph-mabouatt.HS.wvu-ad.wvu.edu","CN=sph-mabouatt,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-ABBOOTHE$","sod-abboothe","8/4/2014 11:59:21 AM","10/13/2021 10:52:31 AM","CmRcService/sod-abboothe.HS.wvu-ad.wvu.edu;CmRcService/SOD-ABBOOTHE;TERMSRV/sod-abboothe.HS.wvu-ad.wvu.edu;TERMSRV/SOD-ABBOOTHE;RestrictedKrbHost/sod-abboothe;HOST/sod-abboothe;RestrictedKrbHost/sod-abboothe.HS.wvu-ad.wvu.edu;HOST/sod-abboothe.HS.wvu-ad.wvu.edu","CN=sod-abboothe,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-CNVANCE$","sod-cnvance","8/5/2014 11:00:02 AM","10/13/2021 10:52:37 AM","CmRcService/sod-cnvance.HS.wvu-ad.wvu.edu;CmRcService/SOD-CNVANCE;TERMSRV/sod-cnvance.HS.wvu-ad.wvu.edu;TERMSRV/SOD-CNVANCE;RestrictedKrbHost/sod-cnvance;HOST/sod-cnvance;RestrictedKrbHost/sod-cnvance.HS.wvu-ad.wvu.edu;HOST/sod-cnvance.HS.wvu-ad.wvu.edu","CN=sod-cnvance,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-CEBISHOP$","sod-cebishop","8/4/2014 11:29:14 AM","10/13/2021 10:52:37 AM","CmRcService/SOD-CEBISHOP;CmRcService/sod-cebishop.HS.wvu-ad.wvu.edu;TERMSRV/SOD-CEBISHOP;TERMSRV/sod-cebishop.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-cebishop;HOST/sod-cebishop;RestrictedKrbHost/sod-cebishop.HS.wvu-ad.wvu.edu;HOST/sod-cebishop.HS.wvu-ad.wvu.edu","CN=sod-cebishop,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-ATCARLSON$","sod-atcarlson","8/4/2014 12:09:54 PM","10/13/2021 10:52:31 AM","CmRcService/sod-atcarlson.HS.wvu-ad.wvu.edu;CmRcService/SOD-ATCARLSON;TERMSRV/SOD-ATCARLSON;TERMSRV/sod-atcarlson.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-atcarlson;HOST/sod-atcarlson;RestrictedKrbHost/sod-atcarlson.HS.wvu-ad.wvu.edu;HOST/sod-atcarlson.HS.wvu-ad.wvu.edu","CN=sod-atcarlson,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-SLNORTON$","sod-slnorton","8/5/2014 9:35:19 AM","10/13/2021 10:52:58 AM","CmRcService/SOD-SLNORTON;CmRcService/sod-slnorton.HS.wvu-ad.wvu.edu;TERMSRV/sod-slnorton.HS.wvu-ad.wvu.edu;TERMSRV/SOD-SLNORTON;RestrictedKrbHost/sod-slnorton;HOST/sod-slnorton;RestrictedKrbHost/sod-slnorton.HS.wvu-ad.wvu.edu;HOST/sod-slnorton.HS.wvu-ad.wvu.edu","CN=sod-slnorton,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-ACCORLEY$","sod-accorley","8/4/2014 12:59:40 PM","10/13/2021 10:52:31 AM","CmRcService/SOD-ACCORLEY;CmRcService/sod-accorley.HS.wvu-ad.wvu.edu;TERMSRV/SOD-ACCORLEY;TERMSRV/sod-accorley.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-accorley;HOST/sod-accorley;RestrictedKrbHost/sod-accorley.HS.wvu-ad.wvu.edu;HOST/sod-accorley.HS.wvu-ad.wvu.edu","CN=sod-accorley,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-LRMONACO$","sod-lrmonaco","8/5/2014 8:40:20 AM","10/13/2021 10:52:58 AM","CmRcService/sod-lrmonaco.HS.wvu-ad.wvu.edu;CmRcService/SOD-LRMONACO;TERMSRV/SOD-LRMONACO;TERMSRV/sod-lrmonaco.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-lrmonaco;HOST/sod-lrmonaco;RestrictedKrbHost/sod-lrmonaco.HS.wvu-ad.wvu.edu;HOST/sod-lrmonaco.HS.wvu-ad.wvu.edu","CN=sod-lrmonaco,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-AJDIVEL$","sod-ajdivel","8/4/2014 1:38:51 PM","10/13/2021 10:52:31 AM","CmRcService/sod-ajdivel.HS.wvu-ad.wvu.edu;CmRcService/SOD-AJDIVEL;TERMSRV/sod-ajdivel.HS.wvu-ad.wvu.edu;TERMSRV/SOD-AJDIVEL;RestrictedKrbHost/sod-ajdivel;HOST/sod-ajdivel;RestrictedKrbHost/sod-ajdivel.HS.wvu-ad.wvu.edu;HOST/sod-ajdivel.HS.wvu-ad.wvu.edu","CN=sod-ajdivel,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-MEDUFFY$","sod-meduffy","8/4/2014 2:03:34 PM","10/13/2021 10:52:58 AM","CmRcService/sod-meduffy.HS.wvu-ad.wvu.edu;CmRcService/SOD-MEDUFFY;TERMSRV/SOD-MEDUFFY;TERMSRV/sod-meduffy.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-meduffy;HOST/sod-meduffy;RestrictedKrbHost/sod-meduffy.HS.wvu-ad.wvu.edu;HOST/sod-meduffy.HS.wvu-ad.wvu.edu","CN=sod-meduffy,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-JMDOOLITTLE$","SOD-JMDOOLITTLE","8/4/2014 1:49:01 PM","10/13/2021 10:52:43 AM","CmRcService/sod-jmdoolittle.HS.wvu-ad.wvu.edu;TERMSRV/sod-jmdoolittle.HS.wvu-ad.wvu.edu;RestrictedKrbHost/sod-jmdoolittle.HS.wvu-ad.wvu.edu;HOST/sod-jmdoolittle.HS.wvu-ad.wvu.edu;CmRcService/SOD-JMDOOLITTLE;TERMSRV/SOD-JMDOOLITTLE;RestrictedKrbHost/SOD-JMDOOLITTLE;HOST/SOD-JMDOOLITTLE","CN=SOD-JMDOOLITTLE,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
