mrn0001,514,514,No UAC change
rcain3,514,514,No UAC change
swhite37,514,514,No UAC change
rsakurai,514,514,No UAC change
tcarpen2,514,514,No UAC change
da0016,514,514,No UAC change
jat0039,514,514,No UAC change
meashman,514,514,No UAC change
mmgrindle,514,514,No UAC change
mjm0004,514,514,No UAC change
smoore,514,514,No UAC change
kboyd9,514,514,No UAC change
harose,514,514,No UAC change
sbausten,514,514,No UAC change
kbg0001,514,514,No UAC change
tnoconnell,514,514,No UAC change
mmuelle6,514,514,No UAC change
ccrowde1,514,514,No UAC change
zmh0002,514,514,No UAC change
pml0001,514,514,No UAC change
kejarrell,514,514,No UAC change
kbaldwi4,514,514,No UAC change
shazelw1,66050,66050,No UAC change
chsowatskey,514,514,No UAC change
mrh0002,514,514,No UAC change
wnoben,514,514,No UAC change
kwolfe12,514,514,No UAC change
jzook1,514,514,No UAC change
mpostlew,66050,66050,No UAC change
jtwigg2,514,514,No UAC change
dnhopkins,514,514,No UAC change
afairban,514,514,No UAC change
jtitley,514,514,No UAC change
abohon,514,514,No UAC change
ifuwape,514,514,No UAC change
lmmorris,514,514,No UAC change
lnelson4,514,514,No UAC change
nhawrank,514,514,No UAC change
iregiste,514,514,No UAC change
phdoyle,514,514,No UAC change
crschrader,514,514,No UAC change
hahansrote,66050,66050,No UAC change
kweave13,514,514,No UAC change
mhenkel1,514,514,No UAC change
mgtincher,514,514,No UAC change
emk0012,514,514,No UAC change
jdavis67,514,514,No UAC change
kyingli1,66050,66050,No UAC change
arice13,514,514,No UAC change
mmbehringer,514,514,No UAC change
jsmit153,514,514,No UAC change
sewiggins,514,514,No UAC change
vltravis,514,514,No UAC change
jlbiebel,514,514,No UAC change
dhairst1,514,514,No UAC change
dcroberts,514,514,No UAC change
mmhudak,514,514,No UAC change
ccm0003,514,514,No UAC change
ehdenton,514,514,No UAC change
eabosley,514,514,No UAC change
jtwainscott,514,514,No UAC change
esg0004,514,514,No UAC change
kesullivan,514,514,No UAC change
mradow,514,514,No UAC change
vcaprio,514,514,No UAC change
kbjones1,66050,66050,No UAC change
sak0002,514,514,No UAC change
nlg0002,514,514,No UAC change
twm0007,514,514,No UAC change
jzateza1,514,514,No UAC change
savanderslice,514,514,No UAC change
mmarti17,514,514,No UAC change
msmcbee,514,514,No UAC change
lma0001,514,514,No UAC change
wjm0001,514,514,No UAC change
wgjames,514,514,No UAC change
gkolar,514,514,No UAC change
rerobinson,514,514,No UAC change
jray14,514,514,No UAC change
cjacord,514,514,No UAC change
ks0009,514,514,No UAC change
jbs0002,514,514,No UAC change
abcline,514,514,No UAC change
jagregory,514,514,No UAC change
erwarden,514,514,No UAC change
anhijar,514,514,No UAC change
ayancey1,514,514,No UAC change
kmo0001,514,514,No UAC change
klrussell,514,514,No UAC change
sjworku,514,514,No UAC change
fdlambert,514,514,No UAC change
faoley,514,514,No UAC change
atm0003,66050,66050,No UAC change
charrah,66050,66050,No UAC change
jtphillips,514,514,No UAC change
jrrussell,514,514,No UAC change
cwhipke2,514,514,No UAC change
kln0001,514,514,No UAC change
alr0003,514,514,No UAC change
tmhumberston,514,514,No UAC change
lktabor,514,514,No UAC change
ekw0002,514,514,No UAC change
alg0005,514,514,No UAC change
aestafford,514,514,No UAC change
paholmes,514,514,No UAC change
