jewilder,66048,66048,No UAC change
spoe,66080,66048,UAC Changed
lcottrell,66080,66048,UAC Changed
okgrossman,66048,66048,No UAC change
pjt0011,66080,66048,UAC Changed
mrbane,66048,66048,No UAC change
bjfunari,66048,66048,No UAC change
jgreen,66080,66048,UAC Changed
aam0019,66048,66048,No UAC change
mclarks1,66048,66048,No UAC change
hvm0002,66080,66048,UAC Changed
cmullett,66080,66048,UAC Changed
gbarretto,66080,66048,UAC Changed
akwilliams,66080,66048,UAC Changed
ppergami,66082,66050,UAC Changed
kbseachrist,66080,66048,UAC Changed
spaul,66080,66048,UAC Changed
uk0003,66080,66048,UAC Changed
jlancaster,66080,66048,UAC Changed
jphillips,66080,66048,UAC Changed
dford,66082,66050,UAC Changed
kqueen,66080,66048,UAC Changed
honicolwala,66048,66048,No UAC change
jpcook,66080,66048,UAC Changed
lnield,66080,66048,UAC Changed
briedel,66080,66048,UAC Changed
kbond,66080,66048,UAC Changed
mcsmith,66080,66048,UAC Changed
hclawges,66080,66048,UAC Changed
nm0038,66080,66048,UAC Changed
PaCasteel,66080,66048,UAC Changed
ccorbin,66080,66048,UAC Changed
cpastuch,66080,66048,UAC Changed
kgannon,66080,66048,UAC Changed
enease,66080,66048,UAC Changed
mhummel,66080,66048,UAC Changed
jmassie,66080,66048,UAC Changed
tcoup,66080,66048,UAC Changed
proyce,66080,66048,UAC Changed
larhodes,66080,66048,UAC Changed
ashay,66080,66048,UAC Changed
rbrant,66080,66048,UAC Changed
ksaunde5,66080,66048,UAC Changed
candria,66080,66048,UAC Changed
bdaugherty,66080,66048,UAC Changed
makers,66080,66048,UAC Changed
kgkinsley,66082,66050,UAC Changed
nbrunner,66080,66048,UAC Changed
rwf0004,66080,66048,UAC Changed
awilli10,66080,66048,UAC Changed
chrea,66080,66048,UAC Changed
jknarumanchi,66048,66048,No UAC change
cf0039,66080,66048,UAC Changed
kmoffett,66080,66048,UAC Changed
clansdal,66050,66050,No UAC change
ssilvaggio,66080,66048,UAC Changed
abalian,66048,66048,No UAC change
pnicholson,66080,66048,UAC Changed
rgibson,66080,66048,UAC Changed
jdower,66080,66048,UAC Changed
mecooper,66080,66048,UAC Changed
chferrell,66080,66048,UAC Changed
jarapp,66080,66048,UAC Changed
mchoyson,66048,66048,No UAC change
bmkellermeyer,66080,66048,UAC Changed
entconference,66048,66048,No UAC change
