"Name","Enabled","DistinguishedName","OperatingSystemName"
"HS-SPH-LOANER-Y","True","CN=HS-SPH-LOANER-Y,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSPEDSE45E","True","CN=HSPEDSE45E,OU=Pediatrics,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSSPH0000258","True","CN=HSSPH0000258,OU=SPH Laptops,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"JECLUTTER-SOP","True","CN=JECLUTTER-SOP,OU=SOP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHISTA47DC","True","CN=HSHISTA47DC,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSCHSTA6C6F","True","CN=HSCHSTA6C6F,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HsHsta","True","CN=HsHsta,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHCOP26F1A","True","CN=HSHCOP26F1A,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTAE2FEB","True","CN=HSHSTAE2FEB,OU=SON,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTA78623","True","CN=HSHSTA78623,OU=SON,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSTA78623","True","CN=HSTA78623,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTA4D2B1","True","CN=HSHSTA4D2B1,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"moonbase1","True","CN=moonbase1,OU=Other Computers,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTA8A798","True","CN=HSHSTA8A798,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB899","True","CN=HSHSTADB899,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3F3","True","CN=HSHSTADB3F3,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB433","True","CN=HSHSTADB433,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB40F","True","CN=HSHSTADB40F,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTABCE2B","True","CN=HSHSTABCE2B,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
