"PrinterName","whenCreated","whenChanged","SamAccountName","distinguishedName"
"3601-hp3005n Group","1/11/2012 12:05:14 PM","2/18/2021 9:29:05 AM","3601-hp3005n Group","CN=3601-hp3005n Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g111-hp2025dn Group","9/9/2009 10:07:07 AM","2/18/2021 9:29:06 AM","g111-hp2025dn Group","CN=g111-hp2025dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g281b-lex-c510 Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","g281b-lex-c510","CN=g281b-lex-c510 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2350p-hp3505 Group","6/16/2009 9:18:25 AM","2/18/2021 9:29:05 AM","2350p-hp3505 Group","CN=2350p-hp3505 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3040-hp3200 Group","9/3/2008 3:02:52 PM","2/18/2021 9:29:05 AM","3040-hp3200","CN=3040-hp3200 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3152-hp2500 Group","9/3/2008 3:02:52 PM","2/18/2021 9:29:05 AM","3152-hp2500","CN=3152-hp2500 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"H-CRH1-RM133 Group","1/19/2021 10:57:59 AM","2/18/2021 9:29:06 AM","H-CRH1-RM133 Group","CN=H-CRH1-RM133 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"G290-HPLJ5SIMX Group","9/3/2008 3:02:53 PM","2/18/2021 9:29:06 AM","G290-HPLJ5SIMX","CN=G290-HPLJ5SIMX Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2271-toshiba2830c Group","2/23/2010 3:59:12 PM","2/18/2021 9:29:05 AM","2271-toshiba2830c Group","CN=2271-toshiba2830c Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4094-Xerox Group","9/3/2008 3:02:53 PM","2/18/2021 9:29:05 AM","4094-Xerox","CN=4094-Xerox Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"102Annex_APPLE Group","9/3/2008 3:02:51 PM","2/18/2021 9:29:05 AM","102Annex_APPLE","CN=102Annex_APPLE Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"102-LEX-C510 Group","9/3/2008 3:02:51 PM","2/18/2021 9:29:05 AM","102-LEX-C510","CN=102-LEX-C510 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2082-HP3500 Group","9/3/2008 3:02:52 PM","2/18/2021 9:29:05 AM","2082-HP3500","CN=2082-HP3500 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3013-HPLJ5 Group","9/3/2008 3:02:52 PM","2/18/2021 9:29:05 AM","3013-HPLJ5","CN=3013-HPLJ5 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4623-hp2015 Group","9/3/2008 3:02:53 PM","2/18/2021 9:29:05 AM","4623-hp2015","CN=4623-hp2015 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"b106-hp1320n Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","b106-hp1320n","CN=b106-hp1320n Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"b128-hp4100 Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","b128-hp4100","CN=b128-hp4100 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g139-hplj5 Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","g139-hplj5","CN=g139-hplj5 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HP-3005 Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","HP-3005","CN=HP-3005 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"8707-hpcm1415 Group","9/9/2011 1:55:21 PM","2/18/2021 9:29:06 AM","8707-hpcm1415 Group","CN=8707-hpcm1415 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3143-hp3505 Group","9/13/2010 9:55:46 AM","2/18/2021 9:29:05 AM","3143-hp3505 Group","CN=3143-hp3505 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Toshiba Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","Toshiba","CN=Toshiba Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3506-hp7600 Group","9/3/2008 3:02:52 PM","2/18/2021 9:29:05 AM","3506-hp7600","CN=3506-hp7600 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"supervisor-office-1714c-hp4200 Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","supervisor-office-1714c-hp4200","CN=supervisor-office-1714c-hp4200 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"resgrad-hpclj4600 Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","resgrad-hpclj4600","CN=resgrad-hpclj4600 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"erma-321-hp4014 Group","5/29/2009 2:21:39 PM","2/18/2021 9:29:06 AM","erma-321-hp4014 Group","CN=erma-321-hp4014 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"UHSTest Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","UHSTest","CN=UHSTest Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4500_hplj4m Group","5/12/2009 2:29:55 PM","2/18/2021 9:29:05 AM","4500_hplj4m Group","CN=4500_hplj4m Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
