SamAccountName,extensionAttribute10
SOD-LC-B05,Resource
SOD-LAB-1,Resource
SOD-EN-CONF,Resource
SDW12013-DS,Resource
SOD-SCR-012,Resource
SOD-STC-016,Resource
SDW12005-DS,Resource
SOD-LC-C07,Resource
SOD-1042D,Resource
SDW13038-PR,Resource
SOD-LC-C09,Resource
SOD-OS-1179A,Resource
SDW12010-DS,Resource
SOD-LC-A09,Resource
SOD-OS-ROOM7,Resource
SOD-OR-9,Resource
SDW12015-DS,Resource
SDW17005-IC,Resource
SOD-LC-D09,Resource
SOD-STC-033,Resource
SOD-CP-04,Resource
SDW17003-IC,Resource
SOD-LC-B011,Resource
SOD-LC-D13,Resource
SOD-1096-10,Resource
SDW13061-DG,Resource
SDW17001-IC,Resource
SOD-STC-004,Resource
SOD-STC-089,Resource
SOD-CP-03,Resource
SDW13032-PD,Resource
SDW17004-IC,Resource
SOD-LC-B06,Resource
SOD-STC-036,Resource
STC-DGP-CON2,Resource
SDW13055-PD,Resource
SDW17002-IC,Resource
SOD-EN-06,Resource
SOD-RD-CONE,Resource
STC-DGP-PART,Resource
SDW13054-PD,Resource
SOD-STC-002,Resource
SOD-OS-MP,Resource
STC-DGP-CONF,Resource
SDW13056-PE,Resource
SDW13022-PD,Resource
SOD-EN-09,Resource
SOD-RADLAB-3,Resource
SOD-1095-08,Resource
SOD-LC-D013,Resource
SOD-RAD-2,Resource
SOD-DG-1016,Resource
sdw2013008,Resource
SOD-EN-14,Resource
SOD-STC-028,Resource
SOD-1042C,Resource
SDW2013007,Resource
SDL16049-OS,Resource
SOD-DG-7,Resource
SOD-OS-ROOM9,Resource
SOD-1096-7,Resource
SDL16047-OS,Resource
SOD-RD-EMRG02,Resource
SOD-STC-090,Resource
SOD-OR-1,Resource
SDL16048-OS,Resource
SOD-LC-D06,Resource
SOD-STC-080,Resource
SOD-OR-6,Resource
SOD-LC-B01,Resource
SOD-PAN22,Resource
SOD-DG-1020a-1,Resource
SOD-LC-GP-BAD,Resource
SOD-LC-B1,Resource
SOD-PRECLINIC,Resource
SOD-LC-D05,Resource
SOD-STC-082,Resource
SOD-1042I,Resource
SOD-EN-10,Resource
SOD-STC-038,Resource
SOD-FD-DS,Resource
SOD-EN-OP1,Resource
SOD-STC-031,Resource
SOD-1042F,Resource
SOD-LC-A014,Resource
SOD-IT-LOANER25,Resource
SDW13091-DG,Resource
SOD-1095-10,Resource
STC-DGP-PAN,Resource
SOD-OS-ROOM10,Resource
SOD-PD-PSP,Resource
SOD-SCR-3,Resource
SOD-STC-GX700,Resource
SOD-STC-079,Resource
SOD-PSP1,Resource
SOD-STC-081,Resource
SOD-DG-1020a-2,Resource
SOD-Endo-XRAY,Resource
SOD-STC-083,Resource
SOD-IT-LOANER08,Resource
SOD-STC-100,Resource
SOD-STC-027,Resource
SOD-DG-1018,Resource
SOD-LC-C06,Resource
SOD-OS-ROOM8,Resource
SOD-DS-lab1,Resource
SDW15061-LC,Resource
SOD-STC-009,Resource
SOD-STC-088,Resource
SOD-IT-ACRED4,Resource
SDW15041-LC,Resource
SOD-EN-OP4,Resource
SOD-STC-029,Resource
SOD-STC-020,Resource
SDW15043-LC,Resource
SOD-PSP3,Resource
STC-OR-FD,Resource
SOD-CP-07,Resource
SDW15064-LC,Resource
SOD-STC-005,Resource
SOD-STC-FACE,Resource
SOD-LC-1040-GP4,Resource
SDW15053-LC,Resource
SOD-SCR-010,Resource
SOD-STC-086,Resource
SOD-IT-MAC1,Resource
SDW15046-LC,Resource
SOD-LC-D012,Resource
SOD-STC-078,Resource
SOD-LC-1040-GP6,Resource
SDW15062-LC,Resource
SOD-EN-07,Resource
SOD-STC-023,Resource
SOD-OR-10,Resource
SDW15045-LC,Resource
SOD-DG-5,Resource
SOD-OS-ROOM5,Resource
SOD-PD-FD1,Resource
SDW15052-LC,Resource
SOD-RD-EMRG03,Resource
SOD-OS-ROOM4,Resource
SOD-CP-06,Resource
SDW15040-LC,Resource
SOD-SCR-8,Resource
SOD-OS-STAFF,Resource
SOD-OR-CONF01,Resource
SDW18006,Resource
SDW15059-LC,Resource
SOD-SCR-4,Resource
SOD-LC-C4,Resource
SOD-1096-8,Resource
SDW18005,Resource
SDW15044-LC,Resource
SOD-LC-A03,Resource
SOD-EN-XRAY,Resource
SOD-OR-3,Resource
SDW18004,Resource
SDW15049-LC,Resource
SOD-LC-A06,Resource
SOD-STC-032,Resource
SOD-PREVIEW,Resource
SDW18002,Resource
SDW15039-LC,Resource
SOD-LC-A01,Resource
SOD-STC-085,Resource
SOD-LC-1040-GP1,Resource
SDW18007,Resource
SDW15054-LC,Resource
SOD-EN-044,Resource
SOD-RADLAB-1,Resource
SOD-1042H,Resource
SDW18003,Resource
SDW15047-LC,Resource
SOD-LC-B08,Resource
SOD-STC-084,Resource
SOD-1095-04,Resource
SDW15042-LC,Resource
SOD-LC-C02,Resource
SOD-OS-ROOM1,Resource
SOD-1042B,Resource
SDW15056-LC,Resource
SOD-LC-B014,Resource
SOD-OS-ROOM3,Resource
SOD-CP-02,Resource
SDW15063-LC,Resource
SOD-LC-D07,Resource
SOD-LC-B6,Resource
SOD-1096-6,Resource
SDW15055-LC,Resource
SOD-STC-SCAN1,Resource
SOD-OS-ROOM6,Resource
SOD-STC-PROS3F,Resource
SDW15057-LC,Resource
SOD-LC-B010,Resource
SOD-PEDO-01,Resource
SOD-DG-1007a-1,Resource
SDW15050-LC,Resource
SOD-LC-B04,Resource
SOD-LC-C2,Resource
SOD-1096-5,Resource
SDW15060-LC,Resource
SOD-DG-4,Resource
SOD-RAD-PAN2,Resource
SOD-DG-1017,Resource
SDW15048-LC,Resource
SOD-DG-3,Resource
SOD-STC-077,Resource
SOD-1096-9,Resource
SDW15058-LC,Resource
SOD-SCR-011,Resource
SOD-STC-030,Resource
SOD-DGP-005,Resource
SDW15051-LC,Resource
SOD-DG-11,Resource
SOD-OS-ROOM2,Resource
SOD-DGP-PSP01,Resource
SDW13053-EN,Resource
SOD-SCR-5,Resource
SOD-STC-087,Resource
SOD-1042E,Resource
SDW15032-LC,Resource
SOD-STC-010,Resource
SOD-PEDO-02,Resource
SOD-OR-15,Resource
SDW15038-LC,Resource
SOD-STC-102,Resource
SOD-RADLAB-2,Resource
SOD-1095-05,Resource
SDW15037-LC,Resource
SOD-LC-C013,Resource
SOD-RD-3,Resource
SOD-OR-8,Resource
SDW15035-LC,Resource
SOD-LC-B02,Resource
SOD-STC-026,Resource
SOD-STC-065,Resource
SDW15036-LC,Resource
SOD-DG-6,Resource
SOD-STC-063,Resource
SDW15033-LC,Resource
SOD-LC-A05,Resource
SOD-OS-ROOM11,Resource
SOD-LC-1040-GP3,Resource
SDW15034-LC,Resource
SOD-LC-A011,Resource
SOD-STC-039,Resource
SOD-1042A,Resource
SOD-DG-1,Resource
SOD-LC-C6,Resource
SOD-CP-01,Resource
SOD-STC-034,Resource
SOD-CP-05,Resource
SOD-1096-3,Resource
SDW2017010,Resource
sod-cs-new,Resource
SOD-STC-451210D,Resource
SDW13016-PD,Resource
SOD-1095-03,Resource
SOD-STC-453106A,Resource
SOD-1095-01,Resource
SOD-DS-G145,Resource
SOD-1095-06,Resource
SDL2014001,Resource
SOD-1042G,Resource
SOD-STC-451210P,Resource
SOD-OR-11,Resource
SOD-1115A,Resource
sod-gpr-res1,Resource
SOD-1096-2,Resource
SOD-DS-lab2,Resource
SOD-PD-FD2,Resource
SOD-1095-07,Resource
SOD-LC-1040-GP5,Resource
SOD-1095-11,Resource
SOD-LC-1040-GP2,Resource
