"SamAccountName","SourceOU","TargetOU"
"4739-minolta-c258 Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"g190m-minolta-c25 group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"$PEDS","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Peds ERAS","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"2350l-minoltac224e Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"PEDS_CT Share","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"4401-hpm452dn Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"PEDS Administration Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"$FAMMED","HSC/SOM/FAMMED","HS Users/HSC/SOM/FAMMED"
"$PT","HSC/SOM/PT","HS Users/HSC/SOM/PT"
"PT Share Traverse Group","HSC/SOM/PT","HS Users/HSC/SOM/PT"
"$FACDEVEL","HSC/SOM/FACDEVEL","HS Users/HSC/SOM/FACDEVEL"
"7403a-ricoh Group","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"$EMMED","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"7703-lexmarkt640 Group","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"EMMED Faculty File Share Group","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"EMMED","HSC/SOM","HS Users/HSC/SOM"
"HSC EMMED PC BILLERS","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"7702-hpcp2025","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"HSC EMMED PC RESIDENTS","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"HSC EMMED Everyone","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"7701-ricoh-mp301spf Group","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"7400a-ricoh Group","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"2225-minolta-c224e Group","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"$HOUSESTAFF","HSC/SOM/MED/HOUSESTAFF","HS Users/HSC/SOM/MED/HOUSESTAFF"
"SOM Housestaff Share Group","HSC/SOM/MED/HOUSESTAFF","HS Users/HSC/SOM/MED/HOUSESTAFF"
"SOM Housestaff Share Read-Only Group","HSC/SOM/MED/HOUSESTAFF","HS Users/HSC/SOM/MED/HOUSESTAFF"
"SOM HouseStaff Resident Rotation Schedules Group","HSC/SOM/MED/HOUSESTAFF","HS Users/HSC/SOM/MED/HOUSESTAFF"
"$INFDIS","HSC/SOM/MED/INFDIS","HS Users/HSC/SOM/MED/INFDIS"
"Infectous Disease Traverse Share Group","HSC/SOM/MED/INFDIS","HS Users/HSC/SOM/MED/INFDIS"
"Global Health Program Group","HSC/SOM/MED/INFDIS","HS Users/HSC/SOM/MED/INFDIS"
"4093a-Minolta-4700P Group","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"g128-bizhub-c360","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"MED Share Traverse Group","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"$WORKSTUDY","HSC/SOM/MED/WORKSTUDY","HS Users/HSC/SOM/MED/WORKSTUDY"
"Derm Resident Folder Group","HSC/SOM/MED/DERM","HS Users/HSC/SOM/MED/DERM"
"Dermatology","HSC/SOM/MED/DERM","HS Users/HSC/SOM/MED/DERM"
"Department of Dermatology Folder Group","HSC/SOM/MED/DERM","HS Users/HSC/SOM/MED/DERM"
"$DERM","HSC/SOM/MED/DERM","HS Users/HSC/SOM/MED/DERM"
"Business Office","HSC/SOM/MED/BUSINESS","HS Users/HSC/SOM/MED/BUSINESS"
"$BUSINESS","HSC/SOM/MED/BUSINESS","HS Users/HSC/SOM/MED/BUSINESS"
