"SamAccountName","SourceOU","TargetOU"
"HSC Pathology DragonSpeak Domain Local","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"PSF","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"Heme Path Fellowship share","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"2187-hp-m451dn","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"Path Em-data share group","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"$PATH","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"2163e-hp4240","HSC/SOM/PATH Group","HS Users/HSC/SOM/PATH Group"
"2156-minolta-4700p Group","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"2317a-minolta-4700p Group","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"2115-hpm276nw Group","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"2139-RicohMP-C4503","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"PathologyDept","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"HSC Pathology DragonSpeak","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"TissueBank students","HSC/SOM/PATH","HS Users/HSC/SOM/PATH"
"PA Applications Group","HSC/SOM/HUMANPERF","HS Users/HSC/SOM/HUMANPERF"
"HIIM Faculty","HSC/SOM/HUMANPERF","HS Users/HSC/SOM/HUMANPERF"
"Human Performance Share Traverse","HSC/SOM/HUMANPERF","HS Users/HSC/SOM/HUMANPERF"
"Human Performance Advisors","HSC/SOM/HUMANPERF","HS Users/HSC/SOM/HUMANPERF"
"Human Performance Clinical and Adjunct Faculty Documents Group","HSC/SOM/HUMANPERF","HS Users/HSC/SOM/HUMANPERF"
"$HUMANPERF","HSC/SOM/HUMANPERF","HS Users/HSC/SOM/HUMANPERF"
"8310-minolta-c3100p Group","HSC/SOM/HUMANPERF","HS Users/HSC/SOM/HUMANPERF"
"HSC Ortho PC Lab Students","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Orthopaedics Student Employees","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Clinical Research Resources Watkins","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Clinical Research Resources France","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Clinical Research Resources Bramer","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"0232 Clinic Secure Share","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Clinical Research Resources","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Clinical Research Resources Dietz","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Clinical Research Resources Frye","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Clinical Research Resources Ryu","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Clinical Research Resources Lindsey","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"HSC-Ortho-PC-ROSIE","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"HSC Ortho PC Residents","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"0608 Secure Share","HSC/SOM/ORTHO/0608 Clinic Secure Share","HS Users/HSC/SOM/ORTHO/0608 Clinic Secure Share"
"Orthopedics","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Ortho Clinic Secure Share","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"1969 Clinic Secure Share","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"5618  Clinic Secure Share","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"0303","HSC/SOM/ORTHO Clinic Secure Share","HS Users/HSC/SOM/ORTHO Clinic Secure Share"
"7161  Clinic Secure Share","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"1022  Clinic Secure Share","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"9914 Clinic Secure Share","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"5400-ricoh Group","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"$ORTHO","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Ortho Residency Share","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"HSC Ortho PC Dina Students","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"3406-brother-HL-2270DW","HSC/SOM/ORTHO Group","HS Users/HSC/SOM/ORTHO Group"
"3700-RicohIM430f Group","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"3956-ricoh-sp6430dn Group","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"3401-Ricoh Group","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Ortho Fragility Group","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Ortho Tertiary Group","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"Ortho MOP Group","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"HSC Ortho Share Traverse Group","HSC/SOM/ORTHO","HS Users/HSC/SOM/ORTHO"
"SOM Share Traverse Group","HSC/SOM","HS Users/HSC/SOM"
"4627-canon Group","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"Resident Administration","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"4627-hp4005 Group","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"OBGYN Share Traverse Group","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"Participant Logs Share Group","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"4627-brother","HSC/SOM/OBGYN Group","HS Users/HSC/SOM/OBGYN Group"
"OBGYN","HSC/SOM","HS Users/HSC/SOM"
"$OBGYN","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"HSC OBGYN Pap Letters Group","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"OBGYN ADMIN Scheduling","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"OBGYN ADMIN Recruitment","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"4627-RICOH-mp-C5503 Group","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"Admin. Asst. Duties & Training Materials Share RW Group","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"OBGYN Administrative Training Share Group","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"OBGYN Faculty Information Share Group","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"OBGYN Intune Users","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"BlueBox Share Group","HSC/SOM/OBGYN","HS Users/HSC/SOM/OBGYN"
"RNI Grant Coverage File Share","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"RNI Share","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"$NEUSUR","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"RNI Share Marketing Group","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"RNI VPN","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"Tremore Share Goup","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"RNI Internal Administrative Group","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"RNI Share Research Development Group","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"RNI Share Clinical Research Group","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"NeuroscienceOps","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"RNI Share Applied Research Group","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"RNI Share RNI Admin Group","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"Neurosurgery Peds Share Group","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"Neuro Library Group","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"Neusur Share Traverse","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"Training Program Share Group","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"$reception","HSC/SOM/NEUSUR/reception","HS Users/HSC/SOM/NEUSUR/reception"
"RNI Share Regulatory","HSC/SOM/NEUSUR","HS Users/HSC/SOM/NEUSUR"
"Neuroradiology","HSC/SOM","HS Users/HSC/SOM"
"$ANEST","HSC/SOM/ANEST","HS Users/HSC/SOM/ANEST"
"$NEURO","HSC/SOM/NEURO","HS Users/HSC/SOM/NEURO"
"Neuro Brick File Share Group","HSC/SOM/NEURO","HS Users/HSC/SOM/NEURO"
"Residency Program Folder Group","HSC/SOM/NEURO","HS Users/HSC/SOM/NEURO"
"Vascular Neurology Share Group","HSC/SOM/NEURO","HS Users/HSC/SOM/NEURO"
"6313-minolta223","HSC/SON","HS Users/HSC/SON"
"HSC SON Reports Group","HSC/SON","HS Users/HSC/SON"
"6500-minolta501","HSC/SON","HS Users/HSC/SON"
"$HPRR","HSC/SON/HPRR","HS Users/HSC/SON/HPRR"
"SON Associate Dean Files Group","HSC/SON/STUALUM","HS Users/HSC/SON/STUALUM"
"SON Financial and Development Group","HSC/SON/STUALUM","HS Users/HSC/SON/STUALUM"
"SON Administrative Council Group","HSC/SON/STUALUM","HS Users/HSC/SON/STUALUM"
"$STUALUM","HSC/SON/STUALUM","HS Users/HSC/SON/STUALUM"
"$SON","HSC/SON","HS Users/HSC/SON"
"$ACAF","HSC/SON/ACAF","HS Users/HSC/SON/ACAF"
"6600-minolta-558e Group","HSC/SON","HS Users/HSC/SON"
"6500-brother-MFC-L8850CDW","HSC/SON","HS Users/HSC/SON"
"6500-minoltac552 Group","HSC/SON","HS Users/HSC/SON"
"SON Student Workers","HSC/SON","HS Users/HSC/SON"
"$HEALRES","HSC/SON/HEALRES","HS Users/HSC/SON/HEALRES"
"$HEALSYS","HSC/SON/HEALSYS","HS Users/HSC/SON/HEALSYS"
"6600-minolta501 Group","HSC/SON","HS Users/HSC/SON"
"6700e-minolta-c3100p Group","HSC/SON","HS Users/HSC/SON"
"$RESEARCH","HSC/SON/RESEARCH","HS Users/HSC/SON/RESEARCH"
"$SONDEAN","HSC/SON/DEAN","HS Users/HSC/SON/DEAN"
"6700-minolta Group","HSC/SON","HS Users/HSC/SON"
"WVU SA Share","HSC","HS Users/HSC"
"$PRINTING","HSC/PRINTING","HS Users/HSC/PRINTING"
"$GYNEONC","HSC/MBRCC/GYNEONC","HS Users/HSC/MBRCC/GYNEONC"
"$SURGONC","HSC/MBRCC/SURGONC","HS Users/HSC/MBRCC/SURGONC"
"MBRCC WVUHS Radiology Share","HSC/MBRCC","HS Users/HSC/MBRCC"
"$MBRCC","HSC/MBRCC","HS Users/HSC/MBRCC"
"CC2-Labs-Minoltac3351 Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"cc1-labs-Minoltac3351 Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"2814-hp2055dn Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"b40-hp680 Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"g100c-hp3800 Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"erma2-brother7860dw Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"1826-zebrazt410 Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"1833-minolta-c3100p Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"brni-2020-minolta-c454e Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"1820-hp1022n","HSC/MBRCC/MBRCC Group/MBRCC Printers Group","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers Group"
"2184-hplj2015dn","HSC/MBRCC/MBRCC Group/MBRCC Printers Group","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers Group"
"g100a-hp4200","HSC/MBRCC/MBRCC Group/MBRCC Printers Group","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers Group"
"1635-hp-2055dn Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"erma270a-hplaserjet400 Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"1621-minoltac654 Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"1712-2055dn Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"1614a-minolta-c3110 Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"prete-minolta420","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"Prete-3338c-xerox Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"cc1-hallway-minoltac3350 Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"erma2-240-minoltaC558 Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"Weedlab6300","HSC/MBRCC/MBRCC Group/MBRCC Printers Group","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers Group"
"g100c-bizhub-c454e Group","HSC/MBRCC/MBRCC Group/MBRCC Printers","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Printers"
"MBRCC BioSpecCore FullAccess","HSC/MBRCC/MBRCC Group/MBRCC BioSpecCore","HS Users/HSC/MBRCC/MBRCC Group/MBRCC BioSpecCore"
"MBRCC BioSpecCore ReadOnly","HSC/MBRCC/MBRCC Group/MBRCC BioSpecCore","HS Users/HSC/MBRCC/MBRCC Group/MBRCC BioSpecCore"
"MBRCC CTSI Admin","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC CTRU Financial","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC CTRU Regulatory","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC CTRU Admin","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC CTRU Nurse-DM","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC PEDS Admin","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC PEDS Financial","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC CTRU Share Traverse","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC PEDS Nurse-DM","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC CTSI Regulatory","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC CTSI Financial","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC PEDS Regulatory","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC CTSI Coordinator","HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups","HS Users/HSC/MBRCC/MBRCC Group/MBRCC SharePoint Groups"
"MBRCC Photo Library Read Only","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Photo Library Full Access","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC_PaperSave","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Labs Traverse","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Grants Traverse","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC_ACS_Pilot_Subs","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Pre_Award Traverse","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Global Traverse","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Grants Administrators","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Grants Read-Only","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC AOE Committee","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Marketing_Communications Group","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC My Docs Redirect CTRU","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC DistroList","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Profile Redirect","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"mbrcc admin calendar group","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC PrivateShares Traverse","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Trial Images","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC UnusedUserFolders Traverse","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Pre_Award Read-only","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"HSC MBRCC SharePoint Users","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC My Docs Redirect CPC","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC CPP Folder Group","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Hemonc Admin Traverse","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Pre_Award Administrators","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC My Docs Redirect Reslab","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"MBRCC Admin Group","HSC/MBRCC/MBRCC Group/MBRCC Administrative","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Administrative"
"AMIF RO","HSC/MBRCC/MBRCC Group/MBRCC MIF","HS Users/HSC/MBRCC/MBRCC Group/MBRCC MIF"
"AMIF RW","HSC/MBRCC/MBRCC Group/MBRCC MIF","HS Users/HSC/MBRCC/MBRCC Group/MBRCC MIF"
"MIF Lab Users WVUH","HSC/MBRCC/MBRCC Group/MBRCC MIF","HS Users/HSC/MBRCC/MBRCC Group/MBRCC MIF"
"MBRCC_ALL_Labs","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Aulakh Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"MBRCC Labs","HSC/MBRCC/MBRCC Group/MBRCC Scripts","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Scripts"
"MBRCC WVUH Clinic Users","HSC/MBRCC/MBRCC Group/MBRCC Scripts","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Scripts"
"MBRCC Development group","HSC/MBRCC/MBRCC Group/MBRCC Scripts","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Scripts"
"MBRCC Complete User Group","HSC/MBRCC/MBRCC Group/MBRCC Scripts","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Scripts"
"MBRCC eNews Extras","HSC/MBRCC/MBRCC Group/MBRCC Scripts","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Scripts"
"MBRCC Prete Users","HSC/MBRCC/MBRCC Group/MBRCC Scripts","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Scripts"
"$RADONC","HSC/MBRCC/RADONC","HS Users/HSC/MBRCC/RADONC"
"Radiation Oncology Program Share","HSC/MBRCC/RADONC","HS Users/HSC/MBRCC/RADONC"
"$MBRCCMGMT","HSC/MBRCC/MGMT","HS Users/HSC/MBRCC/MGMT"
"$CCC","HSC/MBRCC/CCC","HS Users/HSC/MBRCC/CCC"
"MBRCC Research Share","HSC/MBRCC","HS Users/HSC/MBRCC"
"$RESLAB","HSC/MBRCC/RESLAB","HS Users/HSC/MBRCC/RESLAB"
"reslab","HSC/MBRCC/RESLAB","HS Users/HSC/MBRCC/RESLAB"
"$CEI","HSC/MBRCC/CEI","HS Users/HSC/MBRCC/CEI"
"CEI-ALL","HSC/MBRCC/CEI","HS Users/HSC/MBRCC/CEI"
"CEI Bonnies Bus","HSC/MBRCC/CEI","HS Users/HSC/MBRCC/CEI"
"MBRCC CEI Traverse","HSC/MBRCC/CEI","HS Users/HSC/MBRCC/CEI"
"$BMT","HSC/MBRCC/BMT","HS Users/HSC/MBRCC/BMT"
"$MBRCCHEMONC","HSC/MBRCC/HEMONC","HS Users/HSC/MBRCC/HEMONC"
"MBRCC Hemonc Fellows","HSC/MBRCC/HEMONC","HS Users/HSC/MBRCC/HEMONC"
"Hematology and Oncology Fellowship Share Group","HSC/MBRCC/HEMONC","HS Users/HSC/MBRCC/HEMONC"
"MBRCC Hemonc ERAS Folder Group","HSC/MBRCC/HEMONC","HS Users/HSC/MBRCC/HEMONC"
"MBRCC Hemonc Admin Folder Group","HSC/MBRCC/HEMONC","HS Users/HSC/MBRCC/HEMONC"
"MBRCC Hemonc PAs","HSC/MBRCC/HEMONC","HS Users/HSC/MBRCC/HEMONC"
"MBRCC Hemonc NPs","HSC/MBRCC/HEMONC","HS Users/HSC/MBRCC/HEMONC"
"MBRCC Hemonc PharmD","HSC/MBRCC/HEMONC","HS Users/HSC/MBRCC/HEMONC"
"MBRCC Hemonc Faculty","HSC/MBRCC/HEMONC","HS Users/HSC/MBRCC/HEMONC"
"Hemonc","HSC/MBRCC/HEMONC","HS Users/HSC/MBRCC/HEMONC"
"$CTRU","HSC/MBRCC/CTRU","HS Users/HSC/MBRCC/CTRU"
"MBRCC CTRU All","HSC/MBRCC/CTRU","HS Users/HSC/MBRCC/CTRU"
"MBRCC CTRU IRB View Only","HSC/MBRCC/CTRU","HS Users/HSC/MBRCC/CTRU"
"MBRCC CTRU Share Admin","HSC/MBRCC/CTRU","HS Users/HSC/MBRCC/CTRU"
"MBRCC CTRU NonCancer","HSC/MBRCC/CTRU","HS Users/HSC/MBRCC/CTRU"
"$REEDPLAN","HSC/MBRCC/REEDPLAN","HS Users/HSC/MBRCC/REEDPLAN"
"$OMAN","HSC/OMAN","HS Users/HSC/OMAN"
"HSC Facil Mgrs","HSC/ADMIN/FACIL","HS Users/HSC/ADMIN/FACIL"
"Facil Budget Reports","HSC/ADMIN/FACIL","HS Users/HSC/ADMIN/FACIL"
"$FACILMGMT","HSC/ADMIN/FACIL/MGMT","HS Users/HSC/ADMIN/FACIL/MGMT"
"$FACIL","HSC/ADMIN/FACIL","HS Users/HSC/ADMIN/FACIL"
"HSC Facilities ME Archive","HSC/ADMIN/FACIL/ME","HS Users/HSC/ADMIN/FACIL/ME"
"$ME","HSC/ADMIN/FACIL/ME","HS Users/HSC/ADMIN/FACIL/ME"
"Emergency Response Plan Members","HSC/ADMIN/FACIL/SAFETY","HS Users/HSC/ADMIN/FACIL/SAFETY"
"Emergency Response Plan Administrators","HSC/ADMIN/FACIL/SAFETY","HS Users/HSC/ADMIN/FACIL/SAFETY"
"Apogee Users","HSC/ADMIN/FACIL","HS Users/HSC/ADMIN/FACIL"
"$APOGEE","HSC/ADMIN/FACIL/APOGEE","HS Users/HSC/ADMIN/FACIL/APOGEE"
"$HR","HSC/ADMIN/HR","HS Users/HSC/ADMIN/HR"
"HR WVUH data share group","HSC/ADMIN/HR","HS Users/HSC/ADMIN/HR"
"g106-ricoh-imc4500 Group","HSC/ADMIN/DEVEL","HS Users/HSC/ADMIN/DEVEL"
"UR at HSC Group","HSC/ADMIN/DEVEL","HS Users/HSC/ADMIN/DEVEL"
"DEVEL","HSC/ADMIN","HS Users/HSC/ADMIN"
"$DEVEL","HSC/ADMIN/DEVEL","HS Users/HSC/ADMIN/DEVEL"
"Jeff Erin Share group","HSC/ADMIN/DEVEL","HS Users/HSC/ADMIN/DEVEL"
"HSC CED TBISCI Database Group","HSC/ADMIN/CED","HS Users/HSC/ADMIN/CED"
"ced-339-hp4600 Group","HSC/ADMIN/CED","HS Users/HSC/ADMIN/CED"
"ced-340-bizhub452 Group","HSC/ADMIN/CED","HS Users/HSC/ADMIN/CED"
"ced-342-hplj1312 Group","HSC/ADMIN/CED","HS Users/HSC/ADMIN/CED"
"ced-343-dell3115 Group","HSC/ADMIN/CED","HS Users/HSC/ADMIN/CED"
"CED Anyone RO Share","HSC/ADMIN/CED","HS Users/HSC/ADMIN/CED"
